Idx	Frequency	Coverage (%)	Phrase
96	759	4.26	лавров:
97	753	4.26	планирует подготовить следующие фоторепортажи
98	753	4.26	события, которые
99	751	4.26	ои
100	750	4.27	страны
101	711	4.28	человека
102	704	4.29	против
103	702	4.30	хочет
104	698	4.30	мэр
105	698	4.31	2
106	697	4.32	лондоне
107	696	4.33	заявил
108	692	4.34	ер
109	689	4.35	обсудит
110	688	4.35	почти
111	687	4.36	метро
112	683	4.37	россию
113	683	4.39	появится
114	677	4.39	после
115	674	4.40	европы
116	673	4.40	кнр
117	665	4.41	новый
118	664	4.42	биржи
119	659	4.42	3
120	659	4.42	мире
121	655	4.43	вырос
122	649	4.43	эксперт:
123	641	4.45	откроется
124	640	4.45	от
125	633	4.45	коп
126	631	4.46	4
127	627	4.47	нашли
128	625	4.47	урале
129	625	4.48	5
130	624	4.48	кабмин
131	624	4.49	могут
132	622	4.50	четверг
133	619	4.50	руб
134	614	4.51	среду
135	602	4.52	чемпионате
136	600	4.52	об
137	598	4.53	заявил,
138	593	4.53	путин
139	587	4.54	мвд
140	585	4.55	пятницу
141	582	4.55	подмосковья
142	577	4.56	дома
143	577	4.57	погиб
144	575	4.57	тренер
145	574	4.57	по
146	572	4.58	отставку
147	567	4.58	лч
148	565	4.59	детей
149	564	4.60	генсек
150	564	4.60	будут
151	563	4.60	матче
152	560	4.61	японии
153	558	4.61	ъ
154	556	4.64	мировые
155	556	4.64	вышел
156	553	4.65	10
157	547	4.66	призвал
158	546	4.66	просит
159	539	4.67	киеве
160	538	4.67	нхл
161	534	4.69	марта
162	528	4.69	дело
163	527	4.70	китае
164	525	4.70	минобороны
165	521	4.72	стал
166	520	4.73	сентября
167	517	4.74	аварии
168	515	4.75	мая
169	515	4.76	сф
170	514	4.77	требует
171	511	4.77	мид
172	510	4.78	построят
173	510	4.79	понедельник
174	510	4.79	жилье
175	508	4.79	петербург
176	507	4.79	связи
177	507	4.80	москва
178	506	4.80	парламент
179	504	4.81	его
180	503	4.81	футболисты
181	500	4.81	считает,
182	498	4.81	до
183	493	4.82	работу
184	490	4.83	приамурье
185	490	4.83	цб
186	488	4.84	турции
187	487	4.84	жкх
188	484	4.85	вышла
189	483	4.85	еще
190	483	4.86	декабря
191	482	4.87	эксперты:
192	481	4.88	апреля
193	480	4.89	надеется
194	480	4.90	ноября
195	479	4.91	крыму
196	477	4.91	к
197	476	4.91	европе
198	475	4.92	камчатке
199	474	4.93	не
200	472	4.93	сб
201	470	4.94	красноярске
202	469	4.94	египте
203	469	4.95	владивостоке
204	468	4.96	октября
205	467	4.96	млн рублей
206	466	4.97	мчс
207	464	4.97	россияне
208	452	4.98	кбр
209	451	4.98	рассмотрит
210	450	4.99	германии
211	450	4.99	гп
212	445	5.00	мира
213	443	5.00	медведев
214	441	5.01	российские
215	439	5.01	военных
216	436	5.01	кузбассе
217	435	5.03	июня
218	433	5.03	тыс кв м
219	431	5.04	намерен
220	431	5.04	россией
221	427	5.05	выросли
222	426	5.06	ставрополье
223	421	5.07	открывается
224	420	5.08	цик
225	420	5.08	ii
226	419	5.09	предлагает
227	415	5.10	центре
228	415	5.10	9
229	414	5.11	замглавы
230	413	5.12	февраля
231	412	5.12	надеется,
232	412	5.12	борьбе
233	408	5.13	закон
234	407	5.13	забайкалье
235	406	5.14	пройдут
236	404	5.14	жители
237	402	5.14	суде
238	401	5.14	полиция
239	401	5.16	скончался
240	400	5.17	оп
241	399	5.17	италии
242	398	5.18	обсудят
243	397	5.19	июля
244	397	5.20	предложил
245	394	5.20	субботу
246	394	5.24	планирует освещать
247	389	5.25	проект
248	389	5.25	сыграет
249	388	5.25	кг
250	388	5.25	вышли
251	387	5.26	рублей
252	386	5.26	выросло
253	385	5.27	подозреваемый
254	384	5.27	работы
255	383	5.27	покажут
256	383	5.28	жилья
257	383	5.28	задержаны
258	382	5.28	двое
259	382	5.29	пока
260	379	5.29	баррель нефти
261	379	5.30	чс
262	378	5.30	выросла
263	376	5.32	августа
264	375	5.33	проведет
265	375	5.33	правительство
266	372	5.33	первый
267	371	5.34	хотят
268	371	5.35	итоги
269	371	5.35	задержан
270	371	5.36	чечне
271	370	5.37	киев
272	370	5.37	6
273	369	5.37	больнице
274	369	5.38	планирует
275	368	5.38	стране
276	367	5.39	донбассе
277	366	5.39	мкс
278	365	5.41	стартует
279	365	5.41	алтае
280	364	5.42	мексике
281	364	5.42	выборы
282	364	5.43	света
283	363	5.43	работе
284	363	5.44	выборов
285	362	5.44	туве
286	362	5.44	мид рф:
287	360	5.45	востоке
288	360	5.45	украина
289	359	5.46	афганистане
290	356	5.46	самаре
291	356	5.47	пострадал
292	352	5.47	греции
293	351	5.48	фас
294	351	5.48	индии
295	351	5.49	арбитраж
296	351	5.49	назвал
297	350	5.50	2012
298	350	5.50	треть
299	349	5.50	людей
300	349	5.51	данные
301	348	5.51	строительство
302	348	5.51	считают
303	347	5.52	франции
304	347	5.52	млрд рублей
305	347	5.52	события южного
306	346	5.52	ребенка
307	346	5.53	екатеринбурге
308	345	5.53	готов
309	344	5.54	при
310	344	5.54	центре москвы
311	343	5.55	китая
312	342	5.55	етс
313	342	5.56	открылся
314	341	5.56	нба
315	340	5.57	глава мид
316	339	5.58	теннисного
317	338	5.58	тц
318	338	5.59	испании
319	338	5.59	париже
320	338	5.59	газа
321	337	5.60	московском
322	333	5.60	победил
323	333	5.61	га
324	333	5.61	украину
325	332	5.62	тыс человек
326	332	5.62	ученые
327	332	5.62	экс-глава
328	332	5.64	января
329	332	5.64	новостях
330	331	5.64	ингушетии
331	331	5.65	оппозиции
332	329	5.66	казани
333	328	5.66	7
334	327	5.66	получил
335	326	5.67	вновь
336	325	5.67	города
337	324	5.68	доллару
338	324	5.68	якутии
339	324	5.69	арест
340	323	5.69	главу
341	322	5.70	откроют
342	322	5.70	российский
343	322	5.71	вторник
344	321	5.71	евро
345	321	5.71	8
346	321	5.72	при взрыве
347	321	5.72	сибири
348	320	5.73	упал
349	320	5.73	ек
350	319	5.73	суда
351	319	5.73	сборная
352	319	5.74	в рф
353	316	5.75	главой
354	316	5.75	пакистане
355	315	5.75	чм-2018
356	315	5.75	омске
357	314	5.76	надо
358	313	5.76	подозревают
359	312	5.76	фрг
360	310	5.77	бомбе
361	310	5.77	олимпиаде
362	310	5.77	пострадавших
363	310	5.78	ливии
364	308	5.78	махачкале
365	308	5.79	призывает
366	307	5.79	сахалине
367	306	5.79	тс
368	304	5.80	регионе
369	302	5.81	восстановлено
370	302	5.81	мо
371	302	5.81	житель
372	302	5.81	госдеп
373	301	5.82	один
374	300	5.82	машин
375	300	5.82	центр
376	300	5.83	рпц
377	299	5.83	каире
378	298	5.83	туристов
379	298	5.84	регионах
380	298	5.84	президента
381	297	5.85	начнется
382	296	5.85	опасениях
383	296	5.86	премьера
384	296	5.86	переговоры
385	295	5.86	казахстане
386	295	5.87	британии
387	293	5.88	создадут
388	293	5.88	хоккеисты
389	292	5.88	цб рф
390	292	5.89	вов
391	292	5.89	проблемы
392	292	5.90	появятся
393	291	5.90	обещает
394	291	5.90	источник
395	291	5.91	дфо
396	290	5.91	жизни
397	290	5.91	мошенничестве
398	290	5.92	нового
399	289	5.92	сентябре
400	289	5.93	крае
401	289	5.93	томские
402	289	5.94	новые
403	288	5.94	пожара
404	287	5.94	воскресенье
405	286	5.95	нужно
406	285	5.95	интернете
407	285	5.95	днр
408	284	5.96	волгограде
409	284	5.96	ситуации
410	283	5.97	ситуацию
411	282	5.97	2011
412	282	5.97	2013 г
413	282	5.97	как
414	281	5.98	данных
415	281	5.98	во
416	280	5.99	стран
417	280	5.99	мужчина
418	280	5.99	впервые
419	280	6.00	состоится
420	279	6.00	полиции
421	279	6.01	ее
422	279	6.01	столице
423	279	6.01	двух
424	277	6.02	сообщают сми
425	277	6.03	развитие
426	277	6.03	группа
427	276	6.03	вопрос
428	273	6.04	жертв
429	273	6.04	рф:
430	271	6.04	тюрьмы
431	271	6.05	краснодаре
432	271	6.05	госдуму
433	271	6.05	хабаровске
434	270	6.05	игре
435	270	6.05	2012 г
436	270	6.06	татарстане
437	270	6.07	потушен
438	270	6.07	военные
439	269	6.08	аналитики:
440	269	6.08	нью-йорке
441	268	6.09	биржи атр открылись
442	267	6.09	киева
443	266	6.10	при пожаре
444	266	6.10	обсудил
445	266	6.11	еспч
446	266	6.11	пост
447	265	6.11	больницы
448	265	6.12	путина
449	265	6.12	тв
450	264	6.12	торги
451	264	6.13	домов
452	264	6.13	экономике
453	264	6.13	минске
454	263	6.13	россиянин
455	262	6.14	источник:
456	262	6.14	море
457	261	6.14	хоккеист
458	261	6.15	недели
459	260	6.15	было
460	260	6.15	время
461	260	6.16	российских
462	258	6.16	бк
463	258	6.16	выступит
464	258	6.17	оппозиция
465	257	6.17	помощь
466	257	6.17	иск
467	254	6.18	ж/д
468	254	6.18	декабре
469	254	6.18	срок
470	253	6.19	октябре
471	253	6.19	больше
472	253	6.19	встретится
473	252	6.20	приморья
474	252	6.20	фестиваль
475	252	6.21	режиме
476	252	6.21	мид:
477	252	6.22	ожидается
478	251	6.22	число жертв
479	251	6.22	границе
480	251	6.22	осужден
481	251	6.23	кс
482	251	6.23	полицейских
483	249	6.23	рф,
484	249	6.24	новых
485	249	6.24	теракта
486	249	6.24	рассчитывает
487	249	6.25	войны
488	248	6.25	со
489	248	6.25	россиянка
490	248	6.25	полицейский
491	247	6.26	кндр
492	247	6.26	2014 г
493	247	6.26	поможет
494	246	6.28	биографическая справка
495	246	6.29	2013
496	246	6.29	пострадавшие
497	246	6.29	поправки
498	245	6.30	намерена
499	244	6.30	ирана
500	244	6.31	финал
501	244	6.31	погибших
502	244	6.31	юге москвы
503	244	6.31	жителей
504	243	6.32	взрыв
505	243	6.32	лавров
506	243	6.32	мае
507	243	6.32	земли
508	242	6.33	ноябре
509	242	6.33	трое
510	242	6.33	дела
511	241	6.34	кризиса
512	241	6.34	проведут
513	241	6.35	дети
514	241	6.35	рубежом
515	241	6.35	ждет
516	240	6.35	два
517	240	6.35	воронеже
518	240	6.36	силовики
519	239	6.36	президенты
520	239	6.36	убийстве
521	239	6.37	горит
522	239	6.37	ходе
523	239	6.38	безопасности
524	239	6.38	ираке
525	239	6.38	начале
526	238	6.38	попал
527	238	6.40	история
528	238	6.40	жертвами
529	237	6.40	пфк
530	237	6.40	астрахани
531	237	6.40	сп
532	237	6.41	лидер
533	237	6.41	открылась
534	236	6.42	примет
535	236	6.42	подорожал
536	236	6.42	месяц
537	236	6.43	семьи
538	236	6.43	самолет
539	235	6.43	боевиков
540	235	6.43	рынок
541	235	6.44	минфин
542	235	6.44	дня
543	234	6.45	россии"
544	234	6.46	снизился
545	233	6.46	сирию
546	233	6.46	мвф
547	232	6.47	польше
548	232	6.47	сфере
549	232	6.47	депутат
550	231	6.48	томска
551	231	6.48	неделе
552	230	6.48	акции
553	230	6.49	фильм
554	230	6.49	станет
555	230	6.49	коп к доллару и
556	229	6.49	вдвое
557	228	6.49	обвиняемый
558	228	6.50	произошло
559	228	6.50	получат
560	228	6.50	взрыва
561	227	6.51	ржд
562	227	6.51	ростове-на-дону
563	227	6.51	этом
564	227	6.52	арестован
565	227	6.52	мэрия
566	225	6.52	пять
567	225	6.53	не менее
568	225	6.53	гк
569	225	6.53	новгороде
570	224	6.54	победила
571	224	6.54	ле
572	224	6.54	по делу
573	223	6.55	украиной
574	223	6.55	умер
575	223	6.56	создание
576	222	6.56	совфед
577	222	6.57	таиланде
578	221	6.57	иг
579	221	6.57	президент
580	220	6.58	планируют
581	220	6.58	на открытии
582	220	6.58	иран
583	220	6.58	теннисном
584	219	6.58	москве,
585	219	6.59	неизвестные
586	219	6.59	работать
587	218	6.59	–
588	217	6.60	найдены
589	217	6.60	теракте
590	217	6.60	перми
591	217	6.60	10%
592	216	6.61	киргизии
593	216	6.63	события, которые редакция "культура" планирует освещать
594	216	6.64	непогоды
595	216	6.64	втб
596	216	6.64	автобус
597	216	6.64	начала
598	215	6.65	сыграют
599	215	6.65	газпром
600	214	6.65	пожаре
601	214	6.66	чиновник
602	214	6.66	растет
603	214	6.66	20%
604	214	6.67	намерены
605	213	6.67	региона
606	213	6.67	нато
607	212	6.68	форвард
608	212	6.68	тимошенко
609	212	6.69	обыграл
610	212	6.69	калининграде
611	212	6.69	оон
612	212	6.70	донецке
613	211	6.70	стали
614	211	6.71	ран
615	211	6.71	млн кв м
616	210	6.71	уже
617	210	6.72	неделю
618	210	6.72	властей
619	210	6.72	адвокат
620	210	6.72	вернется
621	210	6.73	прошел
622	209	6.73	егэ
623	209	6.73	белоруссии
624	209	6.74	заммэра
625	208	6.74	газу
626	208	6.74	кубке
627	208	6.74	сотрудничестве
628	207	6.75	граждан
629	207	6.75	откроет
630	207	6.76	на урале
631	207	6.76	подтвердил
632	206	6.77	чиновников
633	206	6.77	красноярском крае
634	206	6.77	инвестиции
635	206	6.77	подозреваемые
636	206	6.78	- сми
637	205	6.78	"ф-1"
638	205	6.78	представит
639	205	6.78	фестивале
640	205	6.79	в петербурге
641	204	6.79	бразилии
642	204	6.79	силу
643	203	6.80	олимпиады
644	203	6.80	лидирует
645	203	6.81	собирается
646	203	6.81	ростове
647	203	6.81	борьбы
648	203	6.81	пишут сми
649	203	6.82	млн евро
650	203	6.82	полицейские
651	202	6.82	паводка
652	202	6.82	газ
653	202	6.82	где
654	202	6.83	бурятии
655	202	6.83	июне
656	202	6.83	2010
657	202	6.84	посетит
658	201	6.84	кремле
659	201	6.85	столицы
660	201	6.85	стартовал
661	201	6.86	башкирии
662	201	6.86	песков:
663	201	6.86	рфс
664	201	6.87	взрыве
665	201	6.87	ситуация
666	200	6.87	готова
667	200	6.88	апреле
668	200	6.88	останется
669	200	6.88	сизо
670	200	6.88	2014
671	200	6.89	без
672	199	6.89	марте
673	199	6.89	мчс:
674	199	6.89	идет
675	199	6.90	ушел
676	199	6.90	коррупции
677	199	6.90	свыше
678	198	6.90	поддержку
679	198	6.91	челябинске
680	198	6.91	подешевел
681	198	6.91	сообщает
682	198	6.92	полицейского
683	198	6.92	готовы
684	197	6.92	статистике
685	197	6.93	проходит
686	197	6.93	санкт-петербурге
687	197	6.94	спч
688	196	6.94	рост
689	196	6.94	саратове
690	196	6.95	армии
691	196	6.95	совет
692	195	6.95	раз
693	195	6.95	грузии
694	195	6.96	ремонт
695	195	6.96	выходные
696	194	6.96	июле
697	194	6.96	родину
698	194	6.97	аэс
699	194	6.97	по футболу
700	194	6.98	столкновениях
701	194	6.98	спасатели
702	194	6.98	египта
703	193	6.99	дом
704	193	6.99	из рф
705	193	6.99	компании
706	193	6.99	авто
707	192	7.00	договорились
708	192	7.00	минусе
709	192	7.00	пожаров
710	192	7.00	назначен
711	191	7.01	уверен,
712	191	7.01	экономики
713	191	7.01	китай
714	191	7.01	м
715	191	7.01	2011 г
716	191	7.02	матч
717	190	7.02	рубля
718	190	7.02	вернулся
719	190	7.02	победы
720	189	7.03	ирану
721	189	7.03	объявлен
722	189	7.03	iii
723	189	7.03	три
724	189	7.04	своих
725	189	7.04	январе
726	189	7.04	акция
727	189	7.05	машины
728	188	7.05	лнр
729	187	7.05	хоккею
730	187	7.05	лидеры
731	187	7.05	рогозин:
732	187	7.06	юбилеем
733	187	7.06	фонд
734	187	7.07	евро-2012
735	187	7.07	их
736	187	7.07	помощи
737	186	7.07	про
738	186	7.08	завершено
739	186	7.08	минздрав
740	185	7.08	деньги
741	185	7.08	g20
742	185	7.09	кчр
743	185	7.09	индонезии
744	185	7.10	новой
745	185	7.10	просят
746	185	7.10	решение
747	185	7.11	брюсселе
748	185	7.11	собой
749	184	7.11	участники
750	184	7.12	соболезнует
751	183	7.12	прибыл
752	183	7.13	крыма
753	182	7.13	статданных
754	182	7.13	канаде
755	182	7.14	стала
756	182	7.14	защита
757	181	7.14	снизилась
758	181	7.14	сутки
759	181	7.15	обыграли
760	181	7.15	бизнесмена
761	181	7.15	закрылись
762	181	7.16	своей
763	180	7.16	роста
764	180	7.16	началась
765	180	7.17	произошел
766	180	7.17	компания
767	180	7.17	больницу
768	179	7.17	участвовать
769	179	7.18	найдено
770	179	7.18	токио
771	179	7.18	во владивостоке
772	179	7.19	трлн руб
773	179	7.19	землю
774	178	7.20	задержан подозреваемый
775	178	7.20	новости
776	177	7.20	построит
777	177	7.20	законопроект
778	177	7.21	трех
779	177	7.21	горном алтае
780	177	7.21	рынке
781	176	7.21	представят
782	176	7.22	вырастет
783	176	7.22	на украине
784	175	7.23	новостях из
785	175	7.23	проблем
786	175	7.23	школе
787	175	7.23	женщина
788	175	7.24	собянин:
789	175	7.24	гг
790	175	7.24	ожидании
791	174	7.24	иркутске
792	174	7.25	сотрудничество
793	174	7.25	следствие
794	174	7.25	ои-2014
795	173	7.26	на кубани
796	173	7.26	в сша
797	173	7.26	плюсе
798	173	7.26	победу
799	173	7.27	раза
800	173	7.27	ученые:
801	173	7.27	попали
802	173	7.27	будут судить
803	173	7.27	днр:
804	172	7.27	четверо
805	172	7.28	борьбу
806	172	7.28	хабаровском крае
807	172	7.28	выставка
808	172	7.28	наркотики
809	171	7.29	онф
810	171	7.29	переговорах
811	171	7.29	часть
812	171	7.29	дальнем востоке
813	170	7.29	апл
814	170	7.30	пушков:
815	170	7.30	пассажиров
816	170	7.30	финале
817	169	7.30	ввс
818	169	7.30	школах
819	169	7.31	дней
820	169	7.31	теракт
821	169	7.31	все
822	169	7.32	начался
823	169	7.32	выйдет
824	169	7.32	тепла
825	169	7.32	дни
826	168	7.33	движение
827	168	7.33	августе
828	168	7.33	великобритании
829	168	7.33	прокуратура
830	168	7.33	проиграл
831	167	7.34	карелии
832	167	7.34	здание
833	167	7.34	интернет
834	167	7.34	атр
835	167	7.34	астахов:
836	167	7.35	$1 млрд
837	167	7.35	новое
838	166	7.35	получит
839	166	7.36	израиль
840	166	7.36	выставке
841	166	7.36	снг
842	166	7.36	кабмина
843	166	7.36	сотрудники
844	165	7.37	четверть
845	165	7.37	минкультуры
846	165	7.37	пекине
847	165	7.37	беспорядках
848	165	7.38	премьером
849	165	7.38	назад
850	164	7.38	школьников
851	164	7.38	детьми
852	164	7.39	заявили
853	164	7.39	ожидаются
854	164	7.40	объявлено
855	163	7.40	будущее
856	163	7.40	риме
857	163	7.41	осенью
858	163	7.41	состоянии
859	162	7.41	обзор публикаций российской прессы
860	162	7.42	начались
861	162	7.42	цены
862	162	7.42	в подмосковье
863	161	7.42	программу
864	161	7.43	митинг
865	161	7.43	прошли
866	161	7.43	помочь
867	161	7.44	открыли
868	161	7.44	силовиков
869	161	7.44	бизнеса
870	160	7.44	нашла
871	160	7.44	феврале
872	160	7.45	автобусом
873	160	7.45	иску
874	160	7.45	египет
875	160	7.45	получили
876	160	7.45	быть
877	160	7.46	израиля
878	160	7.46	костроме
879	159	7.46	приедет
880	159	7.47	подозревается
881	159	7.47	иране
882	159	7.47	рамках
883	159	7.47	домодедово
884	159	7.48	кабардино-балкарии
885	159	7.48	лишь
886	159	7.48	примут
887	159	7.49	убит
888	159	7.49	детсады
889	158	7.49	ранен
890	158	7.49	беспорядков
891	158	7.50	городе
892	158	7.50	программе
893	158	7.50	арктике
894	158	7.50	энергетике
895	158	7.50	коп к евро
896	158	7.51	доме
897	157	7.51	места
898	157	7.51	бельгии
899	157	7.51	томский
900	157	7.51	гибели
901	157	7.52	европу
902	157	7.52	выделят
903	156	7.52	ищут
904	156	7.52	продажу
905	156	7.53	ряд
906	156	7.53	нарышкин:
907	156	7.53	s&p
908	156	7.54	новая
909	156	7.54	замминистра
910	156	7.54	ребенок
911	156	7.54	грузовик
912	156	7.55	инвалидов
913	156	7.55	оружия
914	156	7.55	победили
915	155	7.55	депутаты
916	155	7.56	врачи
917	155	7.56	газе
918	155	7.56	землетрясения
919	155	7.57	аижк
920	155	7.57	этом году
921	155	7.57	растут
922	155	7.57	месяца
923	155	7.58	перспективы
924	154	7.58	госдуме
925	154	7.58	швейцарии
926	154	7.59	политики
927	154	7.59	принял
928	154	7.59	конца
929	154	7.60	филиппинах
930	154	7.60	компаний
931	154	7.60	юге
932	153	7.60	развития
933	153	7.61	сборной
934	153	7.61	перешел
935	153	7.61	честь
936	153	7.61	200
937	153	7.61	15%
938	153	7.61	музей
939	153	7.61	истории
940	153	7.62	появиться
941	153	7.62	уфе
942	153	7.62	афинах
943	153	7.62	заявляет
944	152	7.63	полицию
945	152	7.63	деле
946	152	7.63	документы
947	152	7.63	и.о.
948	152	7.64	мутко:
949	152	7.64	50%
950	152	7.64	прошла
951	152	7.65	под
952	152	7.65	визитом
953	152	7.65	цао
954	152	7.66	новосибирска
955	152	7.66	кино
956	152	7.66	подозрению
957	151	7.66	доллара
958	151	7.66	азии
959	151	7.66	колыме
960	151	7.66	воды
961	151	7.67	взятку
962	151	7.67	снизились
963	151	7.67	туле
964	151	7.67	чем
965	151	7.67	сети
966	151	7.67	только
967	151	7.68	подал
968	150	7.68	сбербанк
969	150	7.68	австрии
970	150	7.68	колонии
971	150	7.69	акций
972	150	7.70	локализован
973	150	7.70	тысячи
974	150	7.70	дороги
975	150	7.70	выборам
976	150	7.70	конце
977	150	7.71	кв м
978	150	7.71	правительства
979	150	7.71	убийство
980	149	7.72	ввп
981	149	7.72	завод
982	149	7.72	снег
983	149	7.72	месте
984	149	7.72	свой
985	149	7.73	2012 году
986	149	7.73	наркотиков
987	149	7.73	выиграл
988	148	7.73	здания
989	148	7.73	регионов
990	148	7.74	травматики
991	148	7.74	обсе
992	148	7.74	нарушения
993	148	7.74	афганистана
994	148	7.75	появился
995	148	7.75	ярославле
996	148	7.75	дума
997	147	7.76	строительстве
998	147	7.76	начнет
999	147	7.76	биржи сша
1000	147	7.76	оаэ
1001	147	7.77	сообщения
1002	147	7.77	обвиняют
1003	147	7.77	пресс-конференция
1004	147	7.77	запрет
1005	147	7.77	боксер
1006	147	7.78	считают эксперты
1007	147	7.78	ставрополе
1008	147	7.78	денег
1009	147	7.78	ук
1010	147	7.78	отказ
1011	147	7.79	безопасность
1012	146	7.79	мид рф
1013	146	7.79	жизнь
1014	146	7.79	домой
1015	146	7.79	2011 году
1016	145	7.80	сша,
1017	145	7.80	оренбуржье
1018	145	7.80	сезона
1019	145	7.80	дороге
1020	145	7.80	30%
1021	145	7.81	игры
1022	145	7.81	парламента
1023	145	7.81	еврозоне
1024	144	7.81	ульяновске
1025	144	7.81	место
1026	144	7.82	продажи
1027	144	7.82	нападении
1028	144	7.82	большинство
1029	144	7.82	снегопада
1030	144	7.82	заявляет,
1031	144	7.83	производство
1032	144	7.83	фскн
1033	144	7.83	возросло
1034	144	7.84	вопросы
1035	143	7.84	кирове
1036	143	7.84	рассмотрят
1037	143	7.84	мигрантов
1038	143	7.85	получила
1039	143	7.85	введен
1040	143	7.86	чехии
1041	143	7.87	события, которые планирует освещать
1042	143	7.87	ереване
1043	143	7.88	австралии
1044	143	7.88	полгода
1045	143	7.88	конкурс
1046	142	7.88	ждут
1047	142	7.89	открылись
1048	142	7.89	всех
1049	142	7.89	капремонт
1050	142	7.89	заводе
1051	142	7.89	трассе
1052	142	7.90	работа
1053	142	7.90	рфпл
1054	142	7.90	десятки
1055	142	7.90	за год
1056	141	7.90	пути
1057	141	7.91	травмы
1058	141	7.91	решения
1059	141	7.91	путин: рф
1060	141	7.91	чемпионов
1061	141	7.91	самолета
1062	141	7.92	биатлону
1063	141	7.92	школы
1064	140	7.92	вас
1065	140	7.92	открыт
1066	140	7.93	соглашение
1067	140	7.93	может появиться
1068	140	7.93	драке
1069	139	7.94	обнаружено
1070	139	7.94	наводнения
1071	139	7.94	задержали
1072	139	7.94	реанимации
1073	139	7.95	покажет
1074	139	7.95	камчатки
1075	139	7.95	смогут
1076	139	7.96	20
1077	139	7.96	продлен
1078	139	7.96	полиция задержала
1079	139	7.97	памятник
1080	139	7.97	мвд:
1081	139	7.97	стоит
1082	139	7.97	грозном
1083	139	7.97	вину
1084	138	7.98	строительства
1085	138	7.98	полуфинал
1086	138	7.98	цска
1087	138	7.98	начале дня
1088	137	7.99	"женеве-2"
1089	137	7.99	участие
1090	137	7.99	взятке
1091	137	7.99	ремонта
1092	137	8.00	участников
1093	137	8.00	вмф
1094	137	8.00	кто
1095	136	8.01	им.
1096	136	8.01	авария
1097	136	8.01	договор
1098	136	8.01	остаются
1099	136	8.01	золото
1100	136	8.02	вэб
1101	136	8.02	1/4 финала
1102	136	8.02	два человека
1103	136	8.02	фнл
1104	136	8.02	вратарь
1105	135	8.03	выступил
1106	135	8.03	отношении
1107	135	8.03	кризис
1108	135	8.03	культуры
1109	135	8.04	банкротстве
1110	135	8.04	байконура
1111	135	8.04	терактов
1112	135	8.04	видео
1113	135	8.04	приговор
1114	135	8.05	районе
1115	135	8.05	лиге
1116	134	8.05	ск возбудил
1117	134	8.05	сторонники
1118	134	8.05	бороться
1119	134	8.05	1
1120	134	8.06	проверят
1121	134	8.06	вене
1122	134	8.06	минюст
1123	134	8.06	должен
1124	134	8.06	беспорядки
1125	134	8.06	рассмотрит иск
1126	134	8.07	поддержал
1127	134	8.07	реконструкцию
1128	134	8.08	югре
1129	133	8.08	выступят
1130	133	8.08	своего
1131	133	8.08	планируется
1132	133	8.09	создать
1133	133	8.09	смерти
1134	133	8.09	доллар
1135	133	8.09	проиграла
1136	132	8.09	хакасии
1137	132	8.10	нижнем новгороде
1138	132	8.10	аэропорт
1139	132	8.10	матвиенко:
1140	132	8.11	в россии
1141	132	8.11	второй
