Idx	Frequency	Coverage (%)	Phrase
96	759	4.26	лавров:
97	753	4.26	планирует подготовить следующие фоторепортажи
98	753	4.26	события, которые
99	751	4.26	ои
100	750	4.27	страны
101	711	4.28	человека
102	704	4.29	против
103	702	4.30	хочет
104	698	4.30	мэр
105	698	4.31	2
106	697	4.32	лондоне
107	696	4.33	заявил
108	692	4.34	ер
109	689	4.35	обсудит
110	688	4.35	почти
111	687	4.36	метро
112	683	4.37	россию
113	683	4.39	появится
114	677	4.39	после
115	674	4.40	европы
116	673	4.40	кнр
117	665	4.41	новый
118	664	4.42	биржи
119	659	4.42	3
120	659	4.42	мире
121	655	4.43	вырос
122	649	4.43	эксперт:
123	641	4.45	откроется
124	640	4.45	от
125	633	4.45	коп
126	631	4.46	4
127	627	4.47	нашли
128	625	4.47	урале
129	625	4.48	5
130	624	4.48	кабмин
131	624	4.49	могут
132	622	4.50	четверг
133	619	4.50	руб
134	614	4.51	среду
135	602	4.52	чемпионате
136	600	4.52	об
137	598	4.53	заявил,
138	593	4.53	путин
139	587	4.54	мвд
140	585	4.55	пятницу
141	582	4.55	подмосковья
142	577	4.56	дома
143	577	4.57	погиб
144	575	4.57	тренер
145	574	4.57	по
146	572	4.58	отставку
147	567	4.58	лч
148	565	4.59	детей
149	564	4.60	генсек
150	564	4.60	будут
151	563	4.60	матче
152	560	4.61	японии
153	558	4.61	ъ
154	556	4.64	мировые
155	556	4.64	вышел
156	553	4.65	10
157	547	4.66	призвал
158	546	4.66	просит
159	539	4.67	киеве
160	538	4.67	нхл
161	534	4.69	марта
162	528	4.69	дело
163	527	4.70	китае
164	525	4.70	минобороны
165	521	4.72	стал
166	520	4.73	сентября
167	517	4.74	аварии
168	515	4.75	мая
169	515	4.76	сф
170	514	4.77	требует
171	511	4.77	мид
172	510	4.78	построят
173	510	4.79	понедельник
174	510	4.79	жилье
175	508	4.79	петербург
176	507	4.79	связи
177	507	4.80	москва
178	506	4.80	парламент
179	504	4.81	его
180	503	4.81	футболисты
181	500	4.81	считает,
182	498	4.81	до
183	493	4.82	работу
184	490	4.83	приамурье
185	490	4.83	цб
186	488	4.84	турции
187	487	4.84	жкх
188	484	4.85	вышла
189	483	4.85	еще
190	483	4.86	декабря
191	482	4.87	эксперты:
192	481	4.88	апреля
193	480	4.89	надеется
194	480	4.90	ноября
195	479	4.91	крыму
196	477	4.91	к
197	476	4.91	европе
198	475	4.92	камчатке
199	474	4.93	не
200	472	4.93	сб
201	470	4.94	красноярске
202	469	4.94	египте
203	469	4.95	владивостоке
204	468	4.96	октября
205	467	4.96	млн рублей
206	466	4.97	мчс
207	464	4.97	россияне
208	452	4.98	кбр
209	451	4.98	рассмотрит
210	450	4.99	германии
211	450	4.99	гп
212	445	5.00	мира
213	443	5.00	медведев
214	441	5.01	российские
215	439	5.01	военных
216	436	5.01	кузбассе
217	435	5.03	июня
218	433	5.03	тыс кв м
219	431	5.04	намерен
220	431	5.04	россией
221	427	5.05	выросли
222	426	5.06	ставрополье
223	421	5.07	открывается
224	420	5.08	цик
225	420	5.08	ii
226	419	5.09	предлагает
227	415	5.10	центре
228	415	5.10	9
229	414	5.11	замглавы
230	413	5.12	февраля
231	412	5.12	надеется,
232	412	5.12	борьбе
233	408	5.13	закон
234	407	5.13	забайкалье
235	406	5.14	пройдут
236	404	5.14	жители
237	402	5.14	суде
238	401	5.14	полиция
239	401	5.16	скончался
240	400	5.17	оп
241	399	5.17	италии
242	398	5.18	обсудят
243	397	5.19	июля
244	397	5.20	предложил
245	394	5.20	субботу
246	394	5.24	планирует освещать
247	389	5.25	проект
248	389	5.25	сыграет
249	388	5.25	кг
250	388	5.25	вышли
251	387	5.26	рублей
252	386	5.26	выросло
253	385	5.27	подозреваемый
254	384	5.27	работы
255	383	5.27	покажут
256	383	5.28	жилья
257	383	5.28	задержаны
258	382	5.28	двое
259	382	5.29	пока
260	379	5.29	баррель нефти
261	379	5.30	чс
262	378	5.30	выросла
263	376	5.32	августа
264	375	5.33	проведет
265	375	5.33	правительство
266	372	5.33	первый
267	371	5.34	хотят
268	371	5.35	итоги
269	371	5.35	задержан
270	371	5.36	чечне
271	370	5.37	киев
272	370	5.37	6
273	369	5.37	больнице
274	369	5.38	планирует
275	368	5.38	стране
276	367	5.39	донбассе
277	366	5.39	мкс
278	365	5.41	стартует
279	365	5.41	алтае
280	364	5.42	мексике
281	364	5.42	выборы
282	364	5.43	света
283	363	5.43	работе
284	363	5.43	выборов
285	362	5.44	туве
286	362	5.44	мид рф:
287	360	5.45	востоке
288	360	5.45	украина
289	359	5.46	афганистане
290	356	5.46	самаре
291	356	5.47	пострадал
292	352	5.47	греции
293	351	5.48	фас
294	351	5.48	индии
295	351	5.49	арбитраж
296	351	5.49	назвал
297	350	5.50	2012
298	350	5.50	треть
299	349	5.50	людей
300	349	5.51	данные
301	348	5.51	строительство
302	348	5.51	считают
303	347	5.52	франции
304	347	5.52	млрд рублей
305	347	5.52	события южного
306	346	5.52	ребенка
307	346	5.53	екатеринбурге
308	345	5.53	готов
309	344	5.54	при
310	344	5.54	центре москвы
311	343	5.55	китая
312	342	5.55	етс
313	342	5.56	открылся
314	341	5.56	нба
315	340	5.57	глава мид
316	339	5.58	теннисного
317	338	5.58	тц
318	338	5.59	испании
319	338	5.59	париже
320	338	5.59	газа
321	337	5.60	московском
322	333	5.60	победил
323	333	5.61	га
324	333	5.61	украину
325	332	5.62	тыс человек
326	332	5.62	ученые
327	332	5.62	экс-глава
328	332	5.64	января
329	332	5.64	новостях
330	331	5.64	ингушетии
331	331	5.65	оппозиции
332	329	5.66	казани
333	328	5.66	7
334	327	5.66	получил
335	326	5.67	вновь
336	325	5.67	города
337	324	5.68	доллару
338	324	5.68	якутии
339	324	5.69	арест
340	323	5.69	главу
341	322	5.70	откроют
342	322	5.70	российский
343	322	5.71	вторник
344	321	5.71	евро
345	321	5.71	8
346	321	5.72	при взрыве
347	321	5.72	сибири
348	320	5.73	упал
349	320	5.73	ек
350	319	5.73	суда
351	319	5.73	сборная
352	319	5.74	в рф
353	316	5.75	главой
354	316	5.75	пакистане
355	315	5.75	чм-2018
356	315	5.75	омске
357	314	5.76	надо
358	313	5.76	подозревают
359	312	5.76	фрг
360	310	5.77	бомбе
361	310	5.77	олимпиаде
362	310	5.77	пострадавших
363	310	5.78	ливии
364	308	5.78	махачкале
365	308	5.79	призывает
366	307	5.79	сахалине
367	306	5.79	тс
368	304	5.80	регионе
369	302	5.81	восстановлено
370	302	5.81	мо
371	302	5.81	житель
372	302	5.81	госдеп
373	301	5.82	один
374	300	5.82	машин
375	300	5.82	центр
376	300	5.83	рпц
377	299	5.83	каире
378	298	5.83	туристов
379	298	5.84	регионах
380	298	5.84	президента
381	297	5.85	начнется
382	296	5.85	опасениях
383	296	5.86	премьера
384	296	5.86	переговоры
385	295	5.86	казахстане
386	295	5.87	британии
387	293	5.88	создадут
388	293	5.88	хоккеисты
389	292	5.88	цб рф
390	292	5.89	вов
391	292	5.89	проблемы
392	292	5.90	появятся
393	291	5.90	обещает
394	291	5.90	источник
395	291	5.91	дфо
396	290	5.91	жизни
397	290	5.91	мошенничестве
398	290	5.92	нового
399	289	5.92	сентябре
400	289	5.93	крае
401	289	5.93	томские
402	289	5.94	новые
403	288	5.94	пожара
404	287	5.94	воскресенье
405	286	5.95	нужно
406	285	5.95	интернете
407	285	5.95	днр
408	284	5.96	волгограде
409	284	5.96	ситуации
410	283	5.97	ситуацию
411	282	5.97	2011
412	282	5.97	2013 г
413	282	5.97	как
414	281	5.98	данных
415	281	5.98	во
416	280	5.99	стран
417	280	5.99	мужчина
418	280	5.99	впервые
419	280	6.00	состоится
420	279	6.00	полиции
421	279	6.01	ее
422	279	6.01	столице
423	279	6.01	двух
424	277	6.02	сообщают сми
425	277	6.03	развитие
426	277	6.03	группа
427	276	6.03	вопрос
428	273	6.04	жертв
429	273	6.04	рф:
430	271	6.04	тюрьмы
431	271	6.05	краснодаре
432	271	6.05	госдуму
433	271	6.05	хабаровске
434	270	6.05	игре
435	270	6.05	2012 г
436	270	6.06	татарстане
437	270	6.07	потушен
438	270	6.07	военные
439	269	6.08	аналитики:
440	269	6.08	нью-йорке
441	268	6.09	биржи атр открылись
442	267	6.09	киева
443	266	6.10	при пожаре
444	266	6.10	обсудил
445	266	6.11	еспч
446	266	6.11	пост
447	265	6.11	больницы
448	265	6.12	путина
449	265	6.12	тв
450	264	6.12	торги
451	264	6.13	домов
452	264	6.13	экономике
453	264	6.13	минске
454	263	6.13	россиянин
455	262	6.14	источник:
456	262	6.14	море
457	261	6.14	хоккеист
458	261	6.15	недели
459	260	6.15	было
460	260	6.15	время
461	260	6.16	российских
462	258	6.16	бк
463	258	6.16	выступит
464	258	6.17	оппозиция
465	257	6.17	помощь
466	257	6.17	иск
467	254	6.18	ж/д
468	254	6.18	декабре
469	254	6.18	срок
470	253	6.19	октябре
471	253	6.19	больше
472	253	6.19	встретится
473	252	6.20	приморья
474	252	6.20	фестиваль
475	252	6.21	режиме
476	252	6.21	мид:
477	252	6.22	ожидается
478	251	6.22	число жертв
479	251	6.22	границе
480	251	6.22	осужден
481	251	6.23	кс
482	251	6.23	полицейских
483	249	6.23	рф,
484	249	6.24	новых
485	249	6.24	теракта
486	249	6.24	рассчитывает
487	249	6.25	войны
488	248	6.25	со
489	248	6.25	россиянка
490	248	6.25	полицейский
491	247	6.26	кндр
492	247	6.26	2014 г
493	247	6.26	поможет
494	246	6.28	биографическая справка
495	246	6.29	2013
496	246	6.29	пострадавшие
497	246	6.29	поправки
498	245	6.30	намерена
499	244	6.30	ирана
500	244	6.31	финал
501	244	6.31	погибших
502	244	6.31	юге москвы
503	244	6.31	жителей
504	243	6.32	взрыв
505	243	6.32	лавров
506	243	6.32	мае
507	243	6.32	земли
508	242	6.33	ноябре
509	242	6.33	трое
510	242	6.33	дела
511	241	6.34	кризиса
512	241	6.34	проведут
513	241	6.35	дети
514	241	6.35	рубежом
515	241	6.35	ждет
516	240	6.35	два
517	240	6.35	воронеже
518	240	6.36	силовики
519	239	6.36	президенты
520	239	6.36	убийстве
521	239	6.37	горит
522	239	6.37	ходе
523	239	6.38	безопасности
524	239	6.38	ираке
525	239	6.38	начале
526	238	6.38	попал
527	238	6.40	история
528	238	6.40	жертвами
529	237	6.40	пфк
530	237	6.40	астрахани
531	237	6.40	сп
532	237	6.41	лидер
533	237	6.41	открылась
534	236	6.42	примет
535	236	6.42	подорожал
536	236	6.42	месяц
537	236	6.43	семьи
538	236	6.43	самолет
539	235	6.43	боевиков
540	235	6.43	рынок
541	235	6.44	минфин
542	235	6.44	дня
543	234	6.45	россии"
544	234	6.46	снизился
545	233	6.46	сирию
546	233	6.46	мвф
547	232	6.47	польше
548	232	6.47	сфере
549	232	6.47	депутат
550	231	6.47	томска
551	231	6.48	неделе
552	230	6.48	акции
553	230	6.49	фильм
554	230	6.49	станет
555	230	6.49	коп к доллару и
556	229	6.49	вдвое
557	228	6.49	обвиняемый
558	228	6.50	произошло
559	228	6.50	получат
560	228	6.50	взрыва
561	227	6.51	ржд
562	227	6.51	ростове-на-дону
563	227	6.51	этом
564	227	6.52	арестован
565	227	6.52	мэрия
566	225	6.52	пять
567	225	6.53	не менее
568	225	6.53	гк
569	225	6.53	новгороде
570	224	6.54	победила
571	224	6.54	ле
572	224	6.54	по делу
573	223	6.55	украиной
574	223	6.55	умер
575	223	6.56	создание
576	222	6.56	совфед
577	222	6.57	таиланде
578	221	6.57	иг
579	221	6.57	президент
580	220	6.58	планируют
581	220	6.58	на открытии
582	220	6.58	иран
583	220	6.58	теннисном
584	219	6.58	москве,
585	219	6.59	неизвестные
586	219	6.59	работать
587	218	6.59	–
588	217	6.60	найдены
589	217	6.60	теракте
590	217	6.60	перми
591	217	6.60	10%
592	216	6.61	киргизии
593	216	6.63	события, которые редакция "культура" планирует освещать
594	216	6.63	непогоды
595	216	6.64	втб
596	216	6.64	автобус
597	216	6.64	начала
598	215	6.65	сыграют
599	215	6.65	газпром
600	214	6.65	пожаре
